condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,all_sampled_monotonic,no_right_censoring
expanded_20_seed,1,prefill_constrained,1.0,3,7,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,63,28.571429,8.467825,11.625987,True,True
expanded_20_seed,1,prefill_constrained,1.0,3,7,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,63,28.571429,8.467825,11.625987,True,True
expanded_20_seed,1,prefill_constrained,1.0,4,9,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,80,43.75,8.467825,13.803869,True,True
expanded_20_seed,1,prefill_constrained,1.0,4,9,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,80,43.75,8.467825,13.803869,True,True
expanded_20_seed,2,decode_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1,-2",4,0.027344,0.027344,-2,0.027344,0.027344,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.708931,0.81302,True,True
expanded_20_seed,2,decode_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1,-2",4,0.027344,0.027344,-2,0.027344,0.027344,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.708931,0.81302,True,True
expanded_20_seed,2,decode_constrained,1.0,3,7,single_direction_adaptive,-3,"-1,0,1,-2,-3",5,0.03125,0.027344,-2,0.027344,0.03125,-3,1.0,0.0,14.284669,True,True,True,True,40,56,28.571429,0.871901,1.080452,True,True
expanded_20_seed,2,decode_constrained,1.0,3,7,bidirectional_adaptive,-3,"-1,0,1,-2,-3",5,0.03125,0.027344,-2,0.027344,0.03125,-3,1.0,0.0,14.284669,True,True,True,True,40,56,28.571429,0.871901,1.080452,True,True
expanded_20_seed,2,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.027344,-2,0.027344,0.054688,-4,1.0,0.0,100.0,True,True,True,True,48,72,33.333333,1.123428,1.40584,True,True
expanded_20_seed,2,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.027344,-2,0.027344,0.054688,-4,1.0,0.0,100.0,True,True,True,True,48,72,33.333333,1.123428,1.40584,True,True
expanded_20_seed,2,prefill_constrained,1.0,2,5,single_direction_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.398438,1,1.0,0.0,2.000128,True,True,True,True,32,40,20.0,3.10376,3.566677,True,True
expanded_20_seed,2,prefill_constrained,1.0,2,5,bidirectional_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.398438,1,1.0,0.0,2.000128,True,True,True,True,32,40,20.0,3.10376,3.566677,True,True
expanded_20_seed,2,prefill_constrained,1.0,3,7,single_direction_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,False,False,True,True,32,56,42.857143,3.10376,5.435285,True,True
expanded_20_seed,2,prefill_constrained,1.0,3,7,bidirectional_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,False,False,True,True,32,56,42.857143,3.10376,5.435285,True,True
expanded_20_seed,2,prefill_constrained,1.0,4,9,single_direction_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,False,False,True,True,32,72,55.555556,3.10376,7.216968,True,True
expanded_20_seed,2,prefill_constrained,1.0,4,9,bidirectional_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,False,False,True,True,32,72,55.555556,3.10376,7.216968,True,True
expanded_20_seed,3,decode_constrained,1.0,2,5,single_direction_adaptive,-1,"-1,0,1,-2",4,0.03125,0.027344,-2,0.03125,0.03125,"-2,-1",1.0,0.0,14.284669,True,True,True,True,32,40,20.0,0.631067,0.776843,True,True
expanded_20_seed,3,decode_constrained,1.0,2,5,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.03125,0.027344,-2,0.03125,0.03125,"-2,-1",1.0,0.0,14.284669,True,True,True,True,32,40,20.0,0.631067,0.776843,True,True
expanded_20_seed,3,decode_constrained,1.0,3,7,single_direction_adaptive,-1,"-1,0,1,-2,-3",5,0.03125,0.027344,-2,0.03125,0.03125,"-3,-2,-1",1.0,0.0,14.284669,True,True,True,True,40,56,28.571429,0.768544,1.036657,True,True
expanded_20_seed,3,decode_constrained,1.0,3,7,bidirectional_adaptive,-1,"-1,0,1,-2,-3",5,0.03125,0.027344,-2,0.03125,0.03125,"-3,-2,-1",1.0,0.0,14.284669,True,True,True,True,40,56,28.571429,0.768544,1.036657,True,True
expanded_20_seed,3,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.046875,0.027344,-2,0.03125,0.046875,-4,1.0,0.0,71.427004,True,True,True,True,48,72,33.333333,0.966037,1.314932,True,True
expanded_20_seed,3,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.046875,0.027344,-2,0.03125,0.046875,-4,1.0,0.0,71.427004,True,True,True,True,48,72,33.333333,0.966037,1.314932,True,True
expanded_20_seed,3,prefill_constrained,1.0,2,5,single_direction_adaptive,1,"-1,0,1,2",4,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,32,40,20.0,7.590929,9.342442,True,True
expanded_20_seed,3,prefill_constrained,1.0,2,5,bidirectional_adaptive,1,"-1,0,1,2",4,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,32,40,20.0,7.590929,9.342442,True,True
expanded_20_seed,3,prefill_constrained,1.0,3,7,single_direction_adaptive,1,"-1,0,1,2,3",5,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,40,56,28.571429,9.525371,13.038633,True,True
expanded_20_seed,3,prefill_constrained,1.0,3,7,bidirectional_adaptive,1,"-1,0,1,2,3",5,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,40,56,28.571429,9.525371,13.038633,True,True
expanded_20_seed,3,prefill_constrained,1.0,4,9,single_direction_adaptive,1,"-1,0,1,2,3",5,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,40,72,44.444444,9.525371,16.197015,True,True
expanded_20_seed,3,prefill_constrained,1.0,4,9,bidirectional_adaptive,1,"-1,0,1,2,3",5,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,40,72,44.444444,9.525371,16.197015,True,True
expanded_20_seed,4,decode_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1,-2",4,0.039062,0.039062,-2,0.039062,0.039062,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.612203,0.747678,True,True
expanded_20_seed,4,decode_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1,-2",4,0.039062,0.039062,-2,0.039062,0.039062,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.612203,0.747678,True,True
expanded_20_seed,4,decode_constrained,1.0,3,7,single_direction_adaptive,-3,"-1,0,1,-2,-3",5,0.050781,0.039062,-2,0.039062,0.050781,-3,1.0,0.0,30.001024,True,True,True,True,40,56,28.571429,0.901934,1.141357,True,True
expanded_20_seed,4,decode_constrained,1.0,3,7,bidirectional_adaptive,-3,"-1,0,1,-2,-3",5,0.050781,0.039062,-2,0.039062,0.050781,-3,1.0,0.0,30.001024,True,True,True,True,40,56,28.571429,0.901934,1.141357,True,True
expanded_20_seed,4,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.066406,0.039062,-2,0.039062,0.066406,-4,1.0,0.0,70.001536,True,True,True,True,48,72,33.333333,1.097054,1.412569,True,True
expanded_20_seed,4,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.066406,0.039062,-2,0.039062,0.066406,-4,1.0,0.0,70.001536,True,True,True,True,48,72,33.333333,1.097054,1.412569,True,True
expanded_20_seed,4,prefill_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1",3,0.316406,0.316406,-2,0.28125,0.316406,0,1.0,0.0,0.0,True,True,True,True,24,40,40.0,3.317545,5.516173,True,True
expanded_20_seed,4,prefill_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1",3,0.316406,0.316406,-2,0.28125,0.316406,0,1.0,0.0,0.0,True,True,True,True,24,40,40.0,3.317545,5.516173,True,True
expanded_20_seed,4,prefill_constrained,1.0,3,7,single_direction_adaptive,0,"-1,0,1",3,0.316406,0.316406,-2,0.28125,0.382812,3,0.826531,17.346896,0.0,False,False,True,True,24,56,57.142857,3.317545,7.797803,True,True
expanded_20_seed,4,prefill_constrained,1.0,3,7,bidirectional_adaptive,0,"-1,0,1",3,0.316406,0.316406,-2,0.28125,0.382812,3,0.826531,17.346896,0.0,False,False,True,True,24,56,57.142857,3.317545,7.797803,True,True
expanded_20_seed,4,prefill_constrained,1.0,4,9,single_direction_adaptive,0,"-1,0,1",3,0.316406,0.316406,-2,0.28125,0.410156,4,0.771428,22.857157,0.0,False,False,True,True,24,72,66.666667,3.317545,10.167887,True,True
expanded_20_seed,4,prefill_constrained,1.0,4,9,bidirectional_adaptive,0,"-1,0,1",3,0.316406,0.316406,-2,0.28125,0.410156,4,0.771428,22.857157,0.0,False,False,True,True,24,72,66.666667,3.317545,10.167887,True,True
expanded_20_seed,5,decode_constrained,1.0,2,5,single_direction_adaptive,-1,"-1,0,1,-2",4,0.035156,0.03125,-2,0.035156,0.035156,"-2,-1",1.0,0.0,12.4992,True,True,True,True,32,40,20.0,0.589869,0.730814,True,True
expanded_20_seed,5,decode_constrained,1.0,2,5,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.035156,0.03125,-2,0.035156,0.035156,"-2,-1",1.0,0.0,12.4992,True,True,True,True,32,40,20.0,0.589869,0.730814,True,True
expanded_20_seed,5,decode_constrained,1.0,3,7,single_direction_adaptive,-3,"-1,0,1,-2,-3",5,0.046875,0.03125,-2,0.035156,0.046875,-3,1.0,0.0,50.0,True,True,True,True,40,56,28.571429,0.830155,1.097238,True,True
expanded_20_seed,5,decode_constrained,1.0,3,7,bidirectional_adaptive,-3,"-1,0,1,-2,-3",5,0.046875,0.03125,-2,0.035156,0.046875,-3,1.0,0.0,50.0,True,True,True,True,40,56,28.571429,0.830155,1.097238,True,True
expanded_20_seed,5,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.050781,0.03125,-2,0.035156,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,48,72,33.333333,1.095565,1.439498,True,True
expanded_20_seed,5,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.050781,0.03125,-2,0.035156,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,48,72,33.333333,1.095565,1.439498,True,True
expanded_20_seed,5,prefill_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1",3,0.523438,0.523438,-2,0.519531,0.523438,0,1.0,0.0,0.0,True,True,True,True,27,45,40.0,3.67706,5.96247,True,True
expanded_20_seed,5,prefill_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1",3,0.523438,0.523438,-2,0.519531,0.523438,0,1.0,0.0,0.0,True,True,True,True,27,45,40.0,3.67706,5.96247,True,True
expanded_20_seed,5,prefill_constrained,1.0,3,7,single_direction_adaptive,0,"-1,0,1",3,0.523438,0.523438,-2,0.519531,0.542969,3,0.964029,3.597075,0.0,False,False,True,True,27,63,57.142857,3.67706,8.427081,True,True
expanded_20_seed,5,prefill_constrained,1.0,3,7,bidirectional_adaptive,0,"-1,0,1",3,0.523438,0.523438,-2,0.519531,0.542969,3,0.964029,3.597075,0.0,False,False,True,True,27,63,57.142857,3.67706,8.427081,True,True
