seed,regime,method,shift,partition,safe_intensity,unsafe_intensity,first_violation,sampled_monotonic,capacity_evaluations,oracle_safe_intensity,oracle_shifts
7,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.535156,0.539062,network,True,9,0.535156,-1
7,prefill_constrained,sla_evaluator_guided_local_search,-1,9-11-9-11-9-11-9-11,0.535156,0.539062,network,True,9,0.535156,-1
19,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.019531,0.023438,network,True,8,0.023438,"-2,-1"
19,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.011719,0.015625,network,True,8,0.023438,"-2,-1"
19,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.023438,0.027344,network,True,8,0.023438,"-2,-1"
19,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.023438,0.027344,network,True,8,0.023438,"-2,-1"
19,decode_constrained,sla_evaluator_guided_local_search,-1,9-11-9-11-9-11-9-11,0.023438,0.027344,network,True,8,0.023438,"-2,-1"
19,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.574219,0.578125,network,True,9,0.597656,1
19,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.585938,0.589844,network,True,9,0.597656,1
19,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.574219,0.578125,network,True,9,0.597656,1
19,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.585938,0.589844,network,True,9,0.597656,1
19,prefill_constrained,sla_evaluator_guided_local_search,1,11-9-11-9-11-9-11-9,0.597656,0.601562,network,True,9,0.597656,1
