seed,regime,method,shift,partition,safe_intensity,unsafe_intensity,first_violation,sampled_monotonic,oracle_safe_intensity,oracle_shifts
7,decode_constrained,sla_stress_search,1,11-9-11-9-11-9-11-9,0.03125,0.035156,network,True,0.085938,-2
7,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,16.0,,,True,16.0,"-2,-1,0,1,2"
7,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,16.0,,,True,16.0,"-2,-1,0,1,2"
7,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,16.0,,,True,16.0,"-2,-1,0,1,2"
7,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,16.0,,,True,16.0,"-2,-1,0,1,2"
7,prefill_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,16.0,,,True,16.0,"-2,-1,0,1,2"
19,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.167969,0.171875,network,True,0.175781,-2
19,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.085938,0.089844,network,True,0.175781,-2
19,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.175781,0.179688,network,True,0.175781,-2
19,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.171875,0.175781,network,True,0.175781,-2
19,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.175781,0.179688,network,True,0.175781,-2
19,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,16.0,,,True,16.0,"-2,-1,0,1,2"
19,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,16.0,,,True,16.0,"-2,-1,0,1,2"
19,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,16.0,,,True,16.0,"-2,-1,0,1,2"
19,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,16.0,,,True,16.0,"-2,-1,0,1,2"
19,prefill_constrained,sla_stress_search,2,12-8-12-8-12-8-12-8,16.0,,,True,16.0,"-2,-1,0,1,2"
