seed,regime,method,shift,partition,safe_lambda,unsafe_lambda,sampled_monotonic,first_violation,reference_lambda,oracle_safe_lambda,oracle_shifts
7,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.0023,0.00235,True,network,0.0017,0.00235,-2
7,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.00235,0.0024,True,network,0.0017,0.00235,-2
7,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0079,0.008,True,network,0.008,0.0092,2
7,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.0092,0.0093,True,network,0.008,0.0092,2
7,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.0079,0.008,True,network,0.008,0.0092,2
7,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.0077,0.0078,True,network,0.008,0.0092,2
7,prefill_constrained,sla_stress_search,2,12-8-12-8-12-8-12-8,0.0092,0.0093,True,network,0.008,0.0092,2
19,decode_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0011,0.00115,True,network,0.00115,0.00175,-2
19,decode_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.00105,0.0011,True,network,0.00115,0.00175,-2
19,decode_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network,0.00115,0.00175,-2
19,decode_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.0017,0.00175,True,network,0.00115,0.00175,-2
19,decode_constrained,sla_stress_search,-2,8-12-8-12-8-12-8-12,0.00175,0.0018,True,network,0.00115,0.00175,-2
19,prefill_constrained,uniform,0,10-10-10-10-10-10-10-10,0.0084,0.0085,True,network,0.0085,0.0099,2
19,prefill_constrained,prefill_balanced,2,12-8-12-8-12-8-12-8,0.0099,0.01,True,network,0.0085,0.0099,2
19,prefill_constrained,decode_balanced,-2,8-12-8-12-8-12-8-12,0.0085,0.0086,True,network,0.0085,0.0099,2
19,prefill_constrained,phase_agnostic_joint_compute,-1,9-11-9-11-9-11-9-11,0.0083,0.0084,True,network,0.0085,0.0099,2
19,prefill_constrained,sla_stress_search,2,12-8-12-8-12-8-12-8,0.0099,0.01,True,network,0.0085,0.0099,2
