scenario,partition_id,partition,weighted_layers,safe_lambda,unsafe_lambda,right_censored,sampled_monotonic,first_violation,peak_decode_at_first_unsafe
graded,random_01,9-14-9-8-9-10-12-9,89.414419,0.006,0.0065,False,True,network,5
graded,random_02,10-8-13-7-14-13-9-6,87.839855,0.0065,0.007,False,True,network,5
graded,random_03,12-12-11-7-8-10-11-9,88.333944,0.0065,0.007,False,True,network,5
graded,random_04,10-9-12-7-14-6-11-11,90.204573,0.006,0.0065,False,True,network,5
graded,random_05,10-5-14-10-7-10-12-12,92.006882,0.006,0.0065,False,True,network,5
graded,random_06,8-13-10-11-12-10-6-10,88.149517,0.0065,0.007,False,True,network,5
graded,random_07,10-9-9-9-15-13-8-7,88.386031,0.0065,0.007,False,True,network,5
graded,random_08,12-10-8-15-9-10-5-11,87.81302,0.0065,0.007,False,True,network,5
graded,random_09,10-9-9-11-12-11-9-9,89.314602,0.006,0.0065,False,True,network,5
graded,random_10,14-10-5-10-7-14-10-10,89.878177,0.006,0.0065,False,True,network,5
graded,random_11,10-8-11-11-9-14-8-9,89.287546,0.006,0.0065,False,True,network,5
graded,random_12,13-11-9-12-8-10-8-9,87.165945,0.0065,0.007,False,True,network,5
graded,random_13,14-11-13-11-8-8-6-9,85.214397,0.0085,0.009,False,True,network,6
graded,random_14,12-10-11-9-10-11-10-7,87.377595,0.0065,0.007,False,True,network,5
graded,random_15,12-6-11-11-9-9-10-12,90.766484,0.006,0.0065,False,True,network,5
graded,random_16,7-10-12-13-10-10-8-10,89.333389,0.006,0.0065,False,True,network,5
graded,random_17,7-15-8-10-10-10-8-12,90.197025,0.006,0.0065,False,True,network,5
shuffled_severe,uniform,10-10-10-10-10-10-10-10,90.265871,0.006,0.0065,False,True,network,5
shuffled_severe,compute_balanced,6-14-8-12-7-11-9-13,83.193363,0.0085,0.009,False,True,network,6
shuffled_severe,random_00,8-12-8-9-10-9-13-11,88.39132,0.0065,0.007,False,True,network,5
shuffled_severe,random_01,9-14-9-8-9-10-12-9,88.690607,0.006,0.0065,False,True,network,5
shuffled_severe,random_02,10-8-13-7-14-13-9-6,94.732058,0.006,0.0065,False,True,network,5
shuffled_severe,random_03,12-12-11-7-8-10-11-9,91.270547,0.006,0.0065,False,True,network,5
shuffled_severe,random_04,10-9-12-7-14-6-11-11,94.15726,0.006,0.0065,False,True,network,5
shuffled_severe,random_05,10-5-14-10-7-10-12-12,91.090607,0.006,0.0065,False,True,network,5
shuffled_severe,random_06,8-13-10-11-12-10-6-10,88.444604,0.0065,0.007,False,True,network,5
shuffled_severe,random_07,10-9-9-9-15-13-8-7,92.996613,0.006,0.0065,False,True,network,5
shuffled_severe,random_08,12-10-8-15-9-10-5-11,88.47839,0.0065,0.007,False,True,network,5
shuffled_severe,random_09,10-9-9-11-12-11-9-9,91.006184,0.006,0.0065,False,True,network,5
shuffled_severe,random_10,14-10-5-10-7-14-10-10,89.28685,0.006,0.0065,False,True,network,5
shuffled_severe,random_11,10-8-11-11-9-14-8-9,89.839037,0.006,0.0065,False,True,network,5
shuffled_severe,random_12,13-11-9-12-8-10-8-9,90.138571,0.006,0.0065,False,True,network,5
shuffled_severe,random_13,14-11-13-11-8-8-6-9,92.134115,0.006,0.0065,False,True,network,5
shuffled_severe,random_14,12-10-11-9-10-11-10-7,92.608296,0.006,0.0065,False,True,network,5
shuffled_severe,random_15,12-6-11-11-9-9-10-12,91.841396,0.006,0.0065,False,True,network,5
shuffled_severe,random_16,7-10-12-13-10-10-8-10,88.079597,0.0065,0.007,False,True,network,5
shuffled_severe,random_17,7-15-8-10-10-10-8-12,85.692417,0.0085,0.009,False,True,network,6
