scenario,partition_id,partition,lambda,safe,first_violation,event_count,peak_prefill,peak_decode,minimum_link_headroom_mb_s,peak_memory_gb
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0125,False,network,74,1,6,-107.115817,28.57836
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.013,False,network,74,1,6,-107.115817,28.57836
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0135,False,network,73,1,6,-106.992345,28.57836
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.014,False,network,73,1,6,-106.992345,28.57836
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0145,False,network,71,1,6,-106.760412,28.68204
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.015,False,network,68,1,6,-106.429294,28.67628
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0155,False,network,68,1,6,-106.429294,28.67628
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.016,False,network,68,1,6,-106.429294,28.67628
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0165,False,network,60,1,6,-107.014876,28.67628
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.017,False,network,60,1,6,-107.014876,28.67628
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0175,False,network,59,1,6,-106.895125,28.67628
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.018,False,network,26,1,6,-115.647505,28.67052
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0185,False,network,26,1,6,-115.647505,28.67052
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.019,False,network,26,1,6,-115.647505,28.66476
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0195,False,network,26,1,6,-115.647505,28.659
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.02,False,network,25,1,6,-115.537242,28.659
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0205,False,network,25,1,6,-115.537242,28.659
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.021,False,network,25,1,6,-115.537242,28.659
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.0215,False,network,24,1,6,-115.421618,28.659
homogeneous_control,random_03,12-12-11-7-8-10-11-9,0.022,False,network,24,1,6,-115.421618,28.659
homogeneous_control,random_04,10-9-12-7-14-6-11-11,0.006,True,,204,1,4,584.631518,32.2822
homogeneous_control,random_04,10-9-12-7-14-6-11-11,0.0065,True,,204,1,5,358.41104,32.64508
