condition,seed,regime,request_count,bandwidth_multiplier,link_capacity_mb_s,candidate_count,candidate_radius,proposed_shift,proposed_partition,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,gain_over_joint_compute_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,candidate_probe_count,probe_order,method_evaluator_calls,method_runtime_s,all_sampled_monotonic,no_right_censoring
expanded_20_seed_9_candidate,10,prefill_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.367188,0.359375,-2,0.316406,0.394531,4,0.930695,6.930507,2.174052,16.049632,False,False,True,True,4,"-1,0,1,-2",32,2.698738,True,True
expanded_20_seed_9_candidate,11,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.039062,0.039062,-2,0.039062,0.058594,-4,0.666655,33.334471,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.559028,True,True
expanded_20_seed_9_candidate,11,prefill_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,1.160156,1.160156,-2,0.785156,1.160156,0,1.0,0.0,0.0,47.761209,True,True,True,True,3,"-1,0,1",29,7.102424,True,True
expanded_20_seed_9_candidate,12,decode_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.042969,0.039062,-2,0.042969,0.074219,-4,0.578949,42.105121,10.002048,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.615981,True,True
expanded_20_seed_9_candidate,12,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.539062,0.53125,-2,0.503906,0.546875,3,0.985713,1.428663,1.470494,6.976698,False,True,True,True,4,"-1,0,1,2",35,6.042136,True,True
expanded_20_seed_9_candidate,13,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.027344,0.027344,-2,0.027344,0.0625,-4,0.437504,56.2496,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.570176,True,True
expanded_20_seed_9_candidate,13,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.339844,0.3125,-2,0.316406,0.347656,4,0.97753,2.247049,8.75008,7.407571,False,False,True,True,4,"-1,0,1,2",32,2.555004,True,True
expanded_20_seed_9_candidate,14,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.023438,0.023438,-2,0.023438,0.039062,"-4,-3",0.60002,39.997952,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.430905,True,True
expanded_20_seed_9_candidate,14,prefill_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.890625,0.871094,-2,0.871094,0.890625,-1,1.0,0.0,2.242123,2.242123,True,True,True,True,4,"-1,0,1,-2",36,9.047043,True,True
expanded_20_seed_9_candidate,15,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.035156,0.035156,-2,0.035156,0.046875,"-4,-3",0.749995,25.000533,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.472454,True,True
expanded_20_seed_9_candidate,15,prefill_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.402344,0.402344,-2,0.382812,0.425781,3,0.944955,5.504473,0.0,5.102243,False,False,True,True,3,"-1,0,1",24,2.624606,True,True
expanded_20_seed_9_candidate,16,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.03125,0.03125,-2,0.03125,0.046875,-4,0.666667,33.333333,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.499953,True,True
expanded_20_seed_9_candidate,16,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.710938,0.671875,-2,0.699219,0.710938,1,1.0,0.0,5.814028,1.676013,True,True,True,True,4,"-1,0,1,2",36,5.552571,True,True
expanded_20_seed_9_candidate,17,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.03125,0.03125,-2,0.03125,0.050781,-4,0.615388,38.461236,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.382662,True,True
expanded_20_seed_9_candidate,17,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.300781,0.292969,-2,0.300781,0.304688,4,0.987177,1.282295,2.666494,0.0,False,True,True,True,4,"-1,0,1,2",32,2.711827,True,True
expanded_20_seed_9_candidate,18,decode_constrained,133,1.0,1250.0,9,4,0,10-10-10-10-10-10-10-10,0.023438,0.023438,-2,0.023438,0.035156,"-4,-3",0.666686,33.331437,0.0,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.455954,True,True
expanded_20_seed_9_candidate,18,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.484375,0.4375,-2,0.402344,0.484375,1,1.0,0.0,10.714286,20.388275,True,True,True,True,4,"-1,0,1,2",32,5.787381,True,True
expanded_20_seed_9_candidate,19,decode_constrained,133,1.0,1250.0,9,4,-1,9-11-9-11-9-11-9-11,0.023438,0.019531,-2,0.023438,0.03125,-4,0.750016,24.9984,20.004096,0.0,False,False,True,True,4,"-1,0,1,-2",32,0.47709,True,True
expanded_20_seed_9_candidate,19,prefill_constrained,133,1.0,1250.0,9,4,1,11-9-11-9-11-9-11-9,0.597656,0.574219,-2,0.574219,0.597656,1,1.0,0.0,4.081544,4.081544,True,True,True,True,4,"-1,0,1,2",36,5.029395,True,True
