condition,seed,regime,candidate_radius,candidate_count,method_candidate_probes,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,runtime_reduction_pct,proposed_shift,oracle_shifts,oracle_ratio,matches_oracle_shift
expanded_20_seed_9_candidate,6,prefill_constrained,2,5,3,24,40,40.0,2.727621,4.261166,35.988874,0,-2,0.989131,False
expanded_20_seed_9_candidate,6,prefill_constrained,3,7,3,24,56,57.142857,2.727621,5.981707,54.400636,0,-3,0.968084,False
expanded_20_seed_9_candidate,6,prefill_constrained,4,9,3,24,72,66.666667,2.727621,7.717448,64.656443,0,-3,0.968084,False
expanded_20_seed_9_candidate,7,decode_constrained,2,5,4,32,40,20.0,0.485421,0.603022,19.502052,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,7,decode_constrained,3,7,4,32,56,42.857143,0.485421,0.900745,46.109009,0,-3,0.888895,False
expanded_20_seed_9_candidate,7,decode_constrained,4,9,4,32,72,55.555556,0.485421,1.220672,60.233344,0,-4,0.571423,False
expanded_20_seed_9_candidate,7,prefill_constrained,2,5,4,36,45,20.0,5.766693,7.034897,18.027332,-1,-1,1.0,True
expanded_20_seed_9_candidate,7,prefill_constrained,3,7,4,36,63,42.857143,5.766693,9.638162,40.168122,-1,-1,1.0,True
expanded_20_seed_9_candidate,7,prefill_constrained,4,9,4,36,79,54.43038,5.766693,12.386224,53.442686,-1,-1,1.0,True
expanded_20_seed_9_candidate,8,decode_constrained,2,5,4,32,40,20.0,0.471341,0.56713,16.890075,-2,-2,1.0,True
expanded_20_seed_9_candidate,8,decode_constrained,3,7,4,32,56,42.857143,0.471341,0.825988,42.936088,-2,"-3,-2",1.0,True
expanded_20_seed_9_candidate,8,decode_constrained,4,9,4,32,72,55.555556,0.471341,1.071063,55.993115,-2,-4,0.749995,False
expanded_20_seed_9_candidate,8,prefill_constrained,2,5,4,32,40,20.0,4.559151,5.517932,17.375722,0,-2,0.983472,False
expanded_20_seed_9_candidate,8,prefill_constrained,3,7,4,32,57,43.859649,4.559151,7.170983,36.422223,0,3,0.875,False
expanded_20_seed_9_candidate,8,prefill_constrained,4,9,4,32,73,56.164384,4.559151,9.291577,50.932425,0,3,0.875,False
expanded_20_seed_9_candidate,9,decode_constrained,2,5,4,32,40,20.0,0.693481,0.844539,17.886451,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,9,decode_constrained,3,7,4,32,56,42.857143,0.693481,1.272417,45.498887,0,-3,0.818171,False
expanded_20_seed_9_candidate,9,decode_constrained,4,9,4,32,72,55.555556,0.693481,1.655947,58.121766,0,-4,0.692306,False
expanded_20_seed_9_candidate,9,prefill_constrained,2,5,3,27,45,40.0,10.268913,15.079705,31.902428,0,0,1.0,True
expanded_20_seed_9_candidate,9,prefill_constrained,3,7,3,27,63,57.142857,10.268913,18.882257,45.616074,0,0,1.0,True
expanded_20_seed_9_candidate,9,prefill_constrained,4,9,3,27,80,66.25,10.268913,21.674213,52.62152,0,0,1.0,True
expanded_20_seed_9_candidate,10,decode_constrained,2,5,4,32,40,20.0,0.667541,0.808917,17.477129,-1,"-2,-1",1.0,True
expanded_20_seed_9_candidate,10,decode_constrained,3,7,4,32,56,42.857143,0.667541,1.143897,41.643234,-1,"-3,-2,-1",1.0,True
expanded_20_seed_9_candidate,10,decode_constrained,4,9,4,32,72,55.555556,0.667541,1.437855,53.573791,-1,-4,0.500011,False
expanded_20_seed_9_candidate,10,prefill_constrained,2,5,4,32,40,20.0,3.65637,4.89119,25.245791,-1,2,0.989474,False
expanded_20_seed_9_candidate,10,prefill_constrained,3,7,4,32,56,42.857143,3.65637,6.739454,45.746789,-1,2,0.989474,False
expanded_20_seed_9_candidate,10,prefill_constrained,4,9,4,32,72,55.555556,3.65637,8.253993,55.701802,-1,4,0.930695,False
expanded_20_seed_9_candidate,11,decode_constrained,2,5,4,32,40,20.0,0.724825,0.876675,17.321154,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,11,decode_constrained,3,7,4,32,56,42.857143,0.724825,1.243073,41.690897,0,-3,0.833323,False
expanded_20_seed_9_candidate,11,decode_constrained,4,9,4,32,72,55.555556,0.724825,1.61393,55.089459,0,-4,0.666655,False
expanded_20_seed_9_candidate,11,prefill_constrained,2,5,3,29,47,38.297872,9.793671,14.56951,32.779683,0,0,1.0,True
