condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,all_sampled_monotonic,no_right_censoring
bandwidth_0.5x,19,prefill_constrained,0.5,4,9,single_direction_adaptive,1,"-1,0,1,2",4,0.238281,0.226562,-2,0.238281,0.238281,"-2,1",1.0,0.0,5.172536,True,True,True,True,32,72,55.555556,1.51334,3.362631,True,True
bandwidth_0.5x,19,prefill_constrained,0.5,4,9,bidirectional_adaptive,1,"-1,0,1,-2,-3,2",6,0.238281,0.226562,-2,0.238281,0.238281,"-2,1",1.0,0.0,5.172536,True,True,True,True,48,72,33.333333,2.314005,3.362631,True,True
bandwidth_1x,0,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,48,72,33.333333,0.503456,0.685445,True,True
bandwidth_1x,0,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,48,72,33.333333,0.503456,0.685445,True,True
bandwidth_1x,0,prefill_constrained,1.0,4,9,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,44,78,43.589744,4.603356,7.871236,True,True
bandwidth_1x,0,prefill_constrained,1.0,4,9,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,44,78,43.589744,4.603356,7.871236,True,True
bandwidth_1x,1,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.042969,0.023438,-2,0.023438,0.042969,-4,1.0,0.0,83.330489,True,True,True,True,48,72,33.333333,0.547679,0.739128,True,True
bandwidth_1x,1,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.042969,0.023438,-2,0.023438,0.042969,-4,1.0,0.0,83.330489,True,True,True,True,48,72,33.333333,0.547679,0.739128,True,True
bandwidth_1x,1,prefill_constrained,1.0,4,9,single_direction_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,80,43.75,4.649228,7.606169,True,True
bandwidth_1x,1,prefill_constrained,1.0,4,9,bidirectional_adaptive,-2,"-1,0,1,-2,-3",5,0.667969,0.648438,-2,0.667969,0.667969,-2,1.0,0.0,3.012007,True,True,True,True,45,80,43.75,4.649228,7.606169,True,True
bandwidth_1x,2,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.027344,-2,0.027344,0.054688,-4,1.0,0.0,100.0,True,True,True,True,48,72,33.333333,0.620636,0.774375,True,True
bandwidth_1x,2,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.027344,-2,0.027344,0.054688,-4,1.0,0.0,100.0,True,True,True,True,48,72,33.333333,0.620636,0.774375,True,True
bandwidth_1x,2,prefill_constrained,1.0,4,9,single_direction_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,False,False,True,True,32,72,55.555556,1.731758,3.994145,True,True
bandwidth_1x,2,prefill_constrained,1.0,4,9,bidirectional_adaptive,1,"-1,0,1,2",4,0.398438,0.390625,-2,0.257812,0.488281,3,0.816001,18.399856,2.000128,False,False,True,True,32,72,55.555556,1.731758,3.994145,True,True
bandwidth_1x,3,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.046875,0.027344,-2,0.03125,0.046875,-4,1.0,0.0,71.427004,True,True,True,True,48,72,33.333333,0.525009,0.747589,True,True
bandwidth_1x,3,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.046875,0.027344,-2,0.03125,0.046875,-4,1.0,0.0,71.427004,True,True,True,True,48,72,33.333333,0.525009,0.747589,True,True
bandwidth_1x,3,prefill_constrained,1.0,4,9,single_direction_adaptive,1,"-1,0,1,2,3",5,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,40,72,44.444444,5.281761,8.953599,True,True
bandwidth_1x,3,prefill_constrained,1.0,4,9,bidirectional_adaptive,1,"-1,0,1,2,3",5,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,40,72,44.444444,5.281761,8.953599,True,True
bandwidth_1x,7,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.03125,-2,0.03125,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,48,72,33.333333,0.478924,0.622476,True,True
bandwidth_1x,7,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.03125,-2,0.03125,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,48,72,33.333333,0.478924,0.622476,True,True
bandwidth_1x,7,prefill_constrained,1.0,4,9,single_direction_adaptive,-1,"-1,0,1,-2",4,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,36,79,54.43038,2.951293,6.521055,True,True
bandwidth_1x,7,prefill_constrained,1.0,4,9,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,36,79,54.43038,2.951293,6.521055,True,True
bandwidth_1x,19,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.03125,0.019531,-2,0.023438,0.03125,-4,1.0,0.0,60.002048,True,True,True,True,48,72,33.333333,0.504995,0.691519,True,True
bandwidth_1x,19,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.03125,0.019531,-2,0.023438,0.03125,-4,1.0,0.0,60.002048,True,True,True,True,48,72,33.333333,0.504995,0.691519,True,True
bandwidth_1x,19,prefill_constrained,1.0,4,9,single_direction_adaptive,1,"-1,0,1,2",4,0.597656,0.574219,-2,0.574219,0.597656,1,1.0,0.0,4.081544,True,True,True,True,36,79,54.43038,3.496535,6.738207,True,True
bandwidth_1x,19,prefill_constrained,1.0,4,9,bidirectional_adaptive,1,"-1,0,1,-2,2",5,0.597656,0.574219,-2,0.574219,0.597656,1,1.0,0.0,4.081544,True,True,True,True,45,79,43.037975,4.306298,6.738207,True,True
bandwidth_2x,0,decode_constrained,2.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.03125,-2,0.039062,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,48,72,33.333333,0.640687,0.874345,True,True
