condition,seed,regime,bandwidth_multiplier,shift,safe_intensity,unsafe_intensity,evaluations,elapsed_s,sampled_monotonic,right_censored,is_oracle_shift
expanded_20_seed,3,prefill_constrained,1.0,-2,0.476562,0.480469,8,1.368589,True,False,False
expanded_20_seed,3,prefill_constrained,1.0,-1,0.464844,0.46875,8,1.402368,True,False,False
expanded_20_seed,3,prefill_constrained,1.0,0,0.472656,0.476562,8,1.434026,True,False,False
expanded_20_seed,3,prefill_constrained,1.0,1,0.496094,0.5,8,1.530231,True,False,True
expanded_20_seed,3,prefill_constrained,1.0,2,0.496094,0.5,8,1.567772,True,False,True
expanded_20_seed,3,prefill_constrained,1.0,3,0.484375,0.488281,8,1.496991,True,False,False
expanded_20_seed,3,prefill_constrained,1.0,4,0.46875,0.472656,8,1.164052,True,False,False
expanded_20_seed,4,decode_constrained,1.0,-4,0.066406,0.070312,8,0.151873,True,False,True
expanded_20_seed,4,decode_constrained,1.0,-3,0.050781,0.054688,8,0.230116,True,False,False
expanded_20_seed,4,decode_constrained,1.0,-2,0.039062,0.042969,8,0.120193,True,False,False
expanded_20_seed,4,decode_constrained,1.0,-1,0.039062,0.042969,8,0.122699,True,False,False
expanded_20_seed,4,decode_constrained,1.0,0,0.039062,0.042969,8,0.124813,True,False,False
expanded_20_seed,4,decode_constrained,1.0,1,0.019531,0.023438,8,0.107209,True,False,False
expanded_20_seed,4,decode_constrained,1.0,2,0.019531,0.023438,8,0.106504,True,False,False
expanded_20_seed,4,decode_constrained,1.0,3,0.015625,0.019531,8,0.081247,True,False,False
expanded_20_seed,4,decode_constrained,1.0,4,0.003906,0.007812,8,0.060941,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,-4,0.277344,0.28125,8,0.752365,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,-3,0.289062,0.292969,8,0.755641,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,-2,0.28125,0.285156,8,0.774888,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,-1,0.28125,0.285156,8,0.810619,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,0,0.316406,0.320312,8,0.850811,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,1,0.3125,0.316406,8,0.865721,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,2,0.3125,0.316406,8,0.898902,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,3,0.382812,0.386719,8,0.94072,True,False,False
expanded_20_seed,4,prefill_constrained,1.0,4,0.410156,0.414062,8,1.043848,True,False,True
expanded_20_seed,5,decode_constrained,1.0,-4,0.050781,0.054688,8,0.204732,True,False,True
expanded_20_seed,5,decode_constrained,1.0,-3,0.046875,0.050781,8,0.193058,True,False,False
expanded_20_seed,5,decode_constrained,1.0,-2,0.035156,0.039062,8,0.122801,True,False,False
expanded_20_seed,5,decode_constrained,1.0,-1,0.035156,0.039062,8,0.121986,True,False,False
expanded_20_seed,5,decode_constrained,1.0,0,0.03125,0.035156,8,0.108028,True,False,False
expanded_20_seed,5,decode_constrained,1.0,1,0.019531,0.023438,8,0.120208,True,False,False
expanded_20_seed,5,decode_constrained,1.0,2,0.019531,0.023438,8,0.113385,True,False,False
expanded_20_seed,5,decode_constrained,1.0,3,0.019531,0.023438,8,0.100619,True,False,False
expanded_20_seed,5,decode_constrained,1.0,4,0.003906,0.007812,8,0.060455,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,-4,0.488281,0.492188,8,0.941315,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,-3,0.53125,0.535156,9,0.753959,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,-2,0.519531,0.523438,9,0.89597,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,-1,0.511719,0.515625,9,0.911267,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,0,0.523438,0.527344,9,0.919002,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,1,0.511719,0.515625,9,0.917931,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,2,0.503906,0.507812,9,0.827558,True,False,False
expanded_20_seed,5,prefill_constrained,1.0,3,0.542969,0.546875,9,1.107041,True,False,True
expanded_20_seed,5,prefill_constrained,1.0,4,0.46875,0.472656,8,0.998885,True,False,False
expanded_20_seed,6,decode_constrained,1.0,-4,0.035156,0.039062,8,0.126318,True,False,True
expanded_20_seed,6,decode_constrained,1.0,-3,0.035156,0.039062,8,0.133256,True,False,True
expanded_20_seed,6,decode_constrained,1.0,-2,0.023438,0.027344,8,0.11424,True,False,False
expanded_20_seed,6,decode_constrained,1.0,-1,0.023438,0.027344,8,0.105388,True,False,False
expanded_20_seed,6,decode_constrained,1.0,0,0.019531,0.023438,8,0.119503,True,False,False
expanded_20_seed,6,decode_constrained,1.0,1,0.011719,0.015625,8,0.096231,True,False,False
expanded_20_seed,6,decode_constrained,1.0,2,0.011719,0.015625,8,0.096173,True,False,False
expanded_20_seed,6,decode_constrained,1.0,3,0.011719,0.015625,8,0.096868,True,False,False
expanded_20_seed,6,decode_constrained,1.0,4,0.003906,0.007812,8,0.070537,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,-4,0.351562,0.355469,8,0.606366,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,-3,0.367188,0.371094,8,0.675431,True,False,True
expanded_20_seed,6,prefill_constrained,1.0,-2,0.359375,0.363281,8,0.597365,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,-1,0.351562,0.355469,8,0.61858,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,0,0.355469,0.359375,8,0.708794,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,1,0.351562,0.355469,8,0.631786,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,2,0.34375,0.347656,8,0.578105,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,3,0.347656,0.351562,8,0.643742,True,False,False
expanded_20_seed,6,prefill_constrained,1.0,4,0.363281,0.367188,8,0.742552,True,False,False
expanded_20_seed,7,decode_constrained,1.0,-4,0.054688,0.058594,8,0.195999,True,False,True
expanded_20_seed,7,decode_constrained,1.0,-3,0.035156,0.039062,8,0.147162,True,False,False
expanded_20_seed,7,decode_constrained,1.0,-2,0.03125,0.035156,8,0.11204,True,False,False
expanded_20_seed,7,decode_constrained,1.0,-1,0.03125,0.035156,8,0.108602,True,False,False
expanded_20_seed,7,decode_constrained,1.0,0,0.03125,0.035156,8,0.1036,True,False,False
expanded_20_seed,7,decode_constrained,1.0,1,0.015625,0.019531,8,0.080037,True,False,False
expanded_20_seed,7,decode_constrained,1.0,2,0.015625,0.019531,8,0.080181,True,False,False
expanded_20_seed,7,decode_constrained,1.0,3,0.015625,0.019531,8,0.079736,True,False,False
expanded_20_seed,7,decode_constrained,1.0,4,0.003906,0.007812,8,0.061196,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,-4,0.464844,0.46875,8,1.064595,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,-3,0.519531,0.523438,9,0.9697,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,-2,0.519531,0.523438,9,1.05808,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,-1,0.535156,0.539062,9,1.060363,True,False,True
expanded_20_seed,7,prefill_constrained,1.0,0,0.523438,0.527344,9,1.064348,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,1,0.515625,0.519531,9,0.954457,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,2,0.507812,0.511719,9,0.962484,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,3,0.511719,0.515625,9,1.010852,True,False,False
expanded_20_seed,7,prefill_constrained,1.0,4,0.386719,0.390625,8,1.073191,True,False,False
expanded_20_seed,8,decode_constrained,1.0,-4,0.046875,0.050781,8,0.138616,True,False,True
expanded_20_seed,8,decode_constrained,1.0,-3,0.035156,0.039062,8,0.133484,True,False,False
expanded_20_seed,8,decode_constrained,1.0,-2,0.035156,0.039062,8,0.119488,True,False,False
expanded_20_seed,8,decode_constrained,1.0,-1,0.03125,0.035156,8,0.087858,True,False,False
expanded_20_seed,8,decode_constrained,1.0,0,0.03125,0.035156,8,0.093242,True,False,False
expanded_20_seed,8,decode_constrained,1.0,1,0.015625,0.019531,8,0.072099,True,False,False
expanded_20_seed,8,decode_constrained,1.0,2,0.015625,0.019531,8,0.073134,True,False,False
expanded_20_seed,8,decode_constrained,1.0,3,0.015625,0.019531,8,0.068495,True,False,False
expanded_20_seed,8,decode_constrained,1.0,4,0.003906,0.007812,8,0.060182,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,-4,0.445312,0.449219,8,0.572047,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,-3,0.476562,0.480469,8,0.719477,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,-2,0.472656,0.476562,8,0.739461,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,-1,0.460938,0.464844,8,0.729269,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,0,0.464844,0.46875,8,0.883631,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,1,0.464844,0.46875,8,0.886576,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,2,0.457031,0.460938,8,0.784475,True,False,False
expanded_20_seed,8,prefill_constrained,1.0,3,0.53125,0.535156,9,0.532621,True,False,True
expanded_20_seed,8,prefill_constrained,1.0,4,0.488281,0.492188,8,1.043419,True,False,False
expanded_20_seed,9,decode_constrained,1.0,-4,0.050781,0.054688,8,0.228763,True,False,True
expanded_20_seed,9,decode_constrained,1.0,-3,0.042969,0.046875,8,0.216787,True,False,False
expanded_20_seed,9,decode_constrained,1.0,-2,0.035156,0.039062,8,0.158335,True,False,False
expanded_20_seed,9,decode_constrained,1.0,-1,0.035156,0.039062,8,0.152285,True,False,False
expanded_20_seed,9,decode_constrained,1.0,0,0.035156,0.039062,8,0.138109,True,False,False
expanded_20_seed,9,decode_constrained,1.0,1,0.015625,0.019531,8,0.087331,True,False,False
expanded_20_seed,9,decode_constrained,1.0,2,0.011719,0.015625,8,0.11316,True,False,False
expanded_20_seed,9,decode_constrained,1.0,3,0.011719,0.015625,8,0.110945,True,False,False
expanded_20_seed,9,decode_constrained,1.0,4,0.003906,0.007812,8,0.068522,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,-4,0.511719,0.515625,9,0.972165,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,-3,0.617188,0.621094,9,1.547191,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,-2,0.722656,0.726562,9,1.844255,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,-1,0.882812,0.886719,9,2.123422,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,0,0.929688,0.933594,9,2.802739,True,False,True
expanded_20_seed,9,prefill_constrained,1.0,1,0.84375,0.847656,9,2.101833,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,2,0.660156,0.664062,9,1.732992,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,3,0.539062,0.542969,9,1.325439,True,False,False
expanded_20_seed,9,prefill_constrained,1.0,4,0.425781,0.429688,8,1.100546,True,False,False
expanded_20_seed,10,decode_constrained,1.0,-4,0.046875,0.050781,8,0.178112,True,False,True
expanded_20_seed,10,decode_constrained,1.0,-3,0.023438,0.027344,8,0.149576,True,False,False
expanded_20_seed,10,decode_constrained,1.0,-2,0.023438,0.027344,8,0.136724,True,False,False
expanded_20_seed,10,decode_constrained,1.0,-1,0.023438,0.027344,8,0.139397,True,False,False
expanded_20_seed,10,decode_constrained,1.0,0,0.019531,0.023438,8,0.135708,True,False,False
