condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s
expanded_20_seed,3,prefill_constrained,1.0,4,9,coarse_top3,1,"-4,-2,0,2,4,1,3,-3,-1",9,0.496094,0.472656,-2,0.476562,0.496094,"1,2",1.0,0.0,4.958786,True,True,True,True,72,72,0.0,12.626154,12.626154
expanded_20_seed,4,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.066406,0.039062,-2,0.039062,0.066406,-4,1.0,0.0,70.001536,True,True,True,True,48,72,33.333333,0.794439,1.105595
expanded_20_seed,4,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.066406,0.039062,-2,0.039062,0.066406,-4,1.0,0.0,70.001536,True,True,True,True,64,72,11.111111,1.024348,1.105595
expanded_20_seed,4,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.066406,0.039062,-2,0.039062,0.066406,-4,1.0,0.0,70.001536,True,True,True,True,64,72,11.111111,1.024348,1.105595
expanded_20_seed,4,prefill_constrained,1.0,4,9,coarse_top1,4,"-4,-2,0,2,4,3",6,0.410156,0.316406,-2,0.28125,0.410156,4,1.0,0.0,29.629653,True,True,True,True,48,72,33.333333,5.261534,7.693515
expanded_20_seed,4,prefill_constrained,1.0,4,9,coarse_top2,4,"-4,-2,0,2,4,3,-1,1",8,0.410156,0.316406,-2,0.28125,0.410156,4,1.0,0.0,29.629653,True,True,True,True,64,72,11.111111,6.937874,7.693515
expanded_20_seed,4,prefill_constrained,1.0,4,9,coarse_top3,4,"-4,-2,0,2,4,3,-1,1",8,0.410156,0.316406,-2,0.28125,0.410156,4,1.0,0.0,29.629653,True,True,True,True,64,72,11.111111,6.937874,7.693515
expanded_20_seed,5,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.050781,0.03125,-2,0.035156,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,48,72,33.333333,0.802459,1.145272
expanded_20_seed,5,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1",7,0.050781,0.03125,-2,0.035156,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,56,72,22.222222,0.924445,1.145272
expanded_20_seed,5,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.050781,0.03125,-2,0.035156,0.050781,-4,1.0,0.0,62.4992,True,True,True,True,64,72,11.111111,1.044653,1.145272
