condition,seed,regime,bandwidth_multiplier,shift,safe_intensity,unsafe_intensity,evaluations,elapsed_s,sampled_monotonic,right_censored,is_oracle_shift
bandwidth_0.5x,3,decode_constrained,0.5,4,0.003906,0.007812,8,0.084601,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-4,0.214844,0.21875,8,1.103816,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-3,0.207031,0.210938,8,1.094119,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-2,0.207031,0.210938,8,1.112791,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,-1,0.203125,0.207031,8,1.108135,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,0,0.253906,0.257812,8,1.35993,True,False,True
bandwidth_0.5x,3,prefill_constrained,0.5,1,0.246094,0.25,8,1.25957,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,2,0.242188,0.246094,8,1.263457,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,3,0.238281,0.242188,8,1.100486,True,False,False
bandwidth_0.5x,3,prefill_constrained,0.5,4,0.234375,0.238281,8,1.097663,True,False,False
bandwidth_0.5x,7,decode_constrained,0.5,-4,0.015625,0.019531,8,0.107901,True,False,True
bandwidth_0.5x,7,decode_constrained,0.5,-3,0.015625,0.019531,8,0.107841,True,False,True
bandwidth_0.5x,7,decode_constrained,0.5,-2,0.015625,0.019531,8,0.108316,True,False,True
bandwidth_0.5x,7,decode_constrained,0.5,-1,0.015625,0.019531,8,0.110888,True,False,True
bandwidth_0.5x,7,decode_constrained,0.5,0,0.015625,0.019531,8,0.108877,True,False,True
bandwidth_0.5x,7,decode_constrained,0.5,1,0.007812,0.011719,8,0.078668,True,False,False
bandwidth_0.5x,7,decode_constrained,0.5,2,0.007812,0.011719,8,0.073771,True,False,False
bandwidth_0.5x,7,decode_constrained,0.5,3,0.007812,0.011719,8,0.070124,True,False,False
bandwidth_0.5x,7,decode_constrained,0.5,4,0.003906,0.007812,8,0.073032,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,-4,0.15625,0.160156,8,0.552436,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,-3,0.179688,0.183594,8,0.674494,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,-2,0.175781,0.179688,8,0.687425,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,-1,0.175781,0.179688,8,0.690737,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,0,0.171875,0.175781,8,0.647895,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,1,0.183594,0.1875,8,0.773623,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,2,0.179688,0.183594,8,0.721985,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,3,0.175781,0.179688,8,0.731049,True,False,False
bandwidth_0.5x,7,prefill_constrained,0.5,4,0.230469,0.234375,8,0.892733,True,False,True
bandwidth_0.5x,19,decode_constrained,0.5,-4,0.015625,0.019531,8,0.110609,True,False,True
bandwidth_0.5x,19,decode_constrained,0.5,-3,0.015625,0.019531,8,0.111087,True,False,True
bandwidth_0.5x,19,decode_constrained,0.5,-2,0.015625,0.019531,8,0.12518,True,False,True
bandwidth_0.5x,19,decode_constrained,0.5,-1,0.015625,0.019531,8,0.111836,True,False,True
bandwidth_0.5x,19,decode_constrained,0.5,0,0.011719,0.015625,8,0.143153,True,False,False
bandwidth_0.5x,19,decode_constrained,0.5,1,0.003906,0.007812,8,0.085903,True,False,False
bandwidth_0.5x,19,decode_constrained,0.5,2,0.003906,0.007812,8,0.078248,True,False,False
bandwidth_0.5x,19,decode_constrained,0.5,3,0.003906,0.007812,8,0.077782,True,False,False
bandwidth_0.5x,19,decode_constrained,0.5,4,0.003906,0.007812,8,0.077357,True,False,False
bandwidth_0.5x,19,prefill_constrained,0.5,-4,0.210938,0.214844,8,0.734342,True,False,False
bandwidth_0.5x,19,prefill_constrained,0.5,-3,0.230469,0.234375,8,0.731911,True,False,False
bandwidth_0.5x,19,prefill_constrained,0.5,-2,0.238281,0.242188,8,0.746937,True,False,True
bandwidth_0.5x,19,prefill_constrained,0.5,-1,0.230469,0.234375,8,0.750294,True,False,False
