condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s
bandwidth_0.5x,3,prefill_constrained,0.5,4,9,coarse_top2,0,"-4,-2,0,2,4,-1,1,3",8,0.253906,0.253906,-2,0.207031,0.253906,0,1.0,0.0,0.0,True,True,True,True,64,72,11.111111,9.405848,10.499966
bandwidth_0.5x,3,prefill_constrained,0.5,4,9,coarse_top3,0,"-4,-2,0,2,4,-1,1,3",8,0.253906,0.253906,-2,0.207031,0.253906,0,1.0,0.0,0.0,True,True,True,True,64,72,11.111111,9.405848,10.499966
bandwidth_0.5x,7,decode_constrained,0.5,4,9,coarse_top1,0,"-4,-2,0,2,4,-1,1",7,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,56,72,22.222222,0.661453,0.839418
bandwidth_0.5x,7,decode_constrained,0.5,4,9,coarse_top2,0,"-4,-2,0,2,4,-1,1,-3",8,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,64,72,11.111111,0.769295,0.839418
bandwidth_0.5x,7,decode_constrained,0.5,4,9,coarse_top3,0,"-4,-2,0,2,4,-1,1,-3",8,0.015625,0.015625,-2,0.015625,0.015625,"-4,-3,-2,-1,0",1.0,0.0,0.0,True,True,True,True,64,72,11.111111,0.769295,0.839418
bandwidth_0.5x,7,prefill_constrained,0.5,4,9,coarse_top1,4,"-4,-2,0,2,4,3",6,0.230469,0.171875,-2,0.175781,0.230469,4,1.0,0.0,34.091055,True,True,True,True,48,72,33.333333,4.233522,6.372376
bandwidth_0.5x,7,prefill_constrained,0.5,4,9,coarse_top2,4,"-4,-2,0,2,4,3,1",7,0.230469,0.171875,-2,0.175781,0.230469,4,1.0,0.0,34.091055,True,True,True,True,56,72,22.222222,5.007145,6.372376
bandwidth_0.5x,7,prefill_constrained,0.5,4,9,coarse_top3,4,"-4,-2,0,2,4,3,1,-3,-1",9,0.230469,0.171875,-2,0.175781,0.230469,4,1.0,0.0,34.091055,True,True,True,True,72,72,0.0,6.372376,6.372376
bandwidth_0.5x,19,decode_constrained,0.5,4,9,coarse_top1,-1,"-4,-2,0,2,4,-3,-1",7,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,56,72,22.222222,0.75747,0.921155
bandwidth_0.5x,19,decode_constrained,0.5,4,9,coarse_top2,-1,"-4,-2,0,2,4,-3,-1",7,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,56,72,22.222222,0.75747,0.921155
