alpha,ttft_s,tpot_s,shift,partition,safe_lambda,unsafe_lambda,right_censored,sampled_monotonic,first_violation,peak_decode_at_first_unsafe,evaluations
0.35,0.400572,0.416667,1,11-9-11-9-11-9-11-9,0.019,0.01905,False,True,network,17,40
0.35,0.400572,0.416667,2,12-8-12-8-12-8-12-8,0.0186,0.01865,False,True,network,17,41
0.4,0.426829,0.384615,-2,8-12-8-12-8-12-8-12,0.019,0.01905,False,True,network,16,40
0.4,0.426829,0.384615,-1,9-11-9-11-9-11-9-11,0.0186,0.01865,False,True,network,16,41
0.4,0.426829,0.384615,0,10-10-10-10-10-10-10-10,0.0168,0.01685,False,True,network,15,41
0.4,0.426829,0.384615,1,11-9-11-9-11-9-11-9,0.01605,0.0161,False,True,network,15,35
0.4,0.426829,0.384615,2,12-8-12-8-12-8-12-8,0.0157,0.01575,False,True,network,15,37
0.5,0.491228,0.333333,-2,8-12-8-12-8-12-8-12,0.0114,0.01145,False,True,network,13,32
0.5,0.491228,0.333333,-1,9-11-9-11-9-11-9-11,0.00985,0.0099,False,True,network,12,28
0.5,0.491228,0.333333,0,10-10-10-10-10-10-10-10,0.00965,0.0097,False,True,network,12,24
0.5,0.491228,0.333333,1,11-9-11-9-11-9-11-9,0.0094,0.00945,False,True,network,12,28
0.5,0.491228,0.333333,2,12-8-12-8-12-8-12-8,0.0082,0.00825,False,True,network,11,22
0.75,0.788732,0.25,-2,8-12-8-12-8-12-8-12,0.0055,0.00555,False,True,network,7,13
0.75,0.788732,0.25,-1,9-11-9-11-9-11-9-11,0.0043,0.00435,False,True,network,6,16
0.75,0.788732,0.25,0,10-10-10-10-10-10-10-10,0.00425,0.0043,False,True,network,6,15
0.75,0.788732,0.25,1,11-9-11-9-11-9-11-9,0.00415,0.0042,False,True,network,6,13
0.75,0.788732,0.25,2,12-8-12-8-12-8-12-8,0.00405,0.0041,False,True,network,6,11
1.0,2.0,0.2,-2,8-12-8-12-8-12-8-12,0.00235,0.0024,False,True,network,3,13
1.0,2.0,0.2,-1,9-11-9-11-9-11-9-11,0.0023,0.00235,False,True,network,3,12
1.0,2.0,0.2,0,10-10-10-10-10-10-10-10,0.00165,0.0017,False,True,network,3,8
1.0,2.0,0.2,1,11-9-11-9-11-9-11-9,0.00115,0.0012,False,True,network,2,7
1.0,2.0,0.2,2,12-8-12-8-12-8-12-8,0.0011,0.00115,False,True,network,2,6
